units,date,store_nbr,item_nbr,station
1,2012-07-24,14,33,16
5,2012-07-24,14,93,16
57,2012-07-24,15,5,13
80,2012-07-24,15,45,13
24,2012-07-24,16,16,2
140,2012-07-24,16,25,2
3,2012-07-24,16,77,2
123,2012-07-24,17,9,20
48,2012-07-24,17,37,20
165,2012-07-24,17,48,20
19,2012-07-24,18,5,17
9,2012-07-24,18,37,17
8,2012-07-24,19,16,15
2,2012-07-24,19,69,15
9,2012-07-24,19,83,15
1,2012-07-24,19,88,15
49,2012-07-24,20,5,7
1,2012-07-24,20,18,7
26,2012-07-24,20,41,7
4,2012-07-24,20,74,7
79,2012-07-24,21,5,3
96,2012-07-24,21,44,3
1,2012-07-24,21,91,3
28,2012-07-24,22,9,10
1,2012-07-24,22,54,10
53,2012-07-24,22,68,10
26,2012-07-24,23,5,17
38,2012-07-24,23,45,17
1,2012-07-24,23,56,17
43,2012-07-24,24,43,9
42,2012-07-24,25,9,13
108,2012-07-24,25,45,13
11,2012-07-24,25,81,13
2,2012-07-24,25,93,13
2,2012-07-24,26,2,17
41,2012-07-24,26,5,17
49,2012-07-24,26,45,17
24,2012-07-24,27,9,10
1,2012-07-24,27,21,10
27,2012-07-24,27,68,10
2,2012-07-24,28,2,7
20,2012-07-24,28,5,7
52,2012-07-24,28,45,7
32,2012-07-24,29,8,3
35,2012-07-24,29,41,3
73,2012-07-24,29,45,3
1,2012-07-24,29,56,3
4,2012-07-24,30,13,19
23,2012-07-24,30,16,19
196,2012-07-24,30,44,19
70,2012-07-24,31,9,17
72,2012-07-24,31,45,17
23,2012-07-24,32,9,13
1,2012-07-24,32,19,13
52,2012-07-24,32,45,13
2,2012-07-24,32,93,13
112,2012-07-24,33,9,3
191,2012-07-24,33,44,3
1,2012-07-24,33,92,3
37,2012-07-24,34,9,17
97,2012-07-24,34,45,17
1,2012-07-24,34,52,17
13,2012-07-24,35,16,5
10,2012-07-24,35,66,5
4,2012-07-24,36,1,18
19,2012-07-24,36,9,18
125,2012-07-24,36,44,18
53,2012-07-24,37,5,13
63,2012-07-24,37,45,13
23,2012-07-24,38,9,14
83,2012-07-24,38,45,14
1,2012-07-24,38,52,14
8,2012-07-24,39,9,8
13,2012-07-24,39,36,8
67,2012-07-24,40,5,13
41,2012-07-24,40,45,13
6,2012-07-24,40,55,13
41,2012-07-24,41,16,12
1,2012-07-24,41,61,12
22,2012-07-24,41,68,12
42,2012-07-24,42,5,14
74,2012-07-24,42,45,14
2,2012-07-24,42,82,14
32,2012-07-24,43,16,11
6,2012-07-24,43,37,11
18,2012-07-24,44,5,12
54,2012-07-24,44,68,12
2,2012-07-24,44,94,12
12,2012-07-24,45,9,16
6,2012-07-24,45,26,16
33,2012-07-25,1,9,1
6,2012-07-25,1,28,1
3,2012-07-25,1,89,1
8,2012-07-25,1,93,1
44,2012-07-25,2,5,14
113,2012-07-25,2,44,14
74,2012-07-25,3,5,7
84,2012-07-25,3,45,7
58,2012-07-25,4,9,9
7,2012-07-25,4,27,9
2,2012-07-25,4,93,9
21,2012-07-25,5,16,12
3,2012-07-25,5,20,12
5,2012-07-25,5,37,12
29,2012-07-25,6,9,14
4,2012-07-25,6,14,14
55,2012-07-25,6,45,14
63,2012-07-25,7,5,6
11,2012-07-25,7,23,6
21,2012-07-25,8,5,4
13,2012-07-25,8,23,4
2,2012-07-25,8,59,4
10,2012-07-25,8,93,4
52,2012-07-25,9,5,17
8,2012-07-25,9,42,17
78,2012-07-25,9,45,17
26,2012-07-25,10,5,12
13,2012-07-25,10,37,12
4,2012-07-25,10,86,12
59,2012-07-25,11,9,10
43,2012-07-25,11,68,10
2,2012-07-25,11,87,10
13,2012-07-25,12,16,11
11,2012-07-25,12,37,11
1,2012-07-25,12,86,11
59,2012-07-25,13,5,6
86,2012-07-25,13,36,6
24,2012-07-25,14,9,16
16,2012-07-25,14,25,16
3,2012-07-25,14,93,16
38,2012-07-25,15,5,13
1,2012-07-25,15,17,13
70,2012-07-25,15,45,13
2,2012-07-25,15,86,13
24,2012-07-25,16,16,2
157,2012-07-25,16,25,2
3,2012-07-25,16,77,2
6,2012-07-25,16,93,2
127,2012-07-25,17,9,20
60,2012-07-25,17,37,20
163,2012-07-25,17,48,20
5,2012-07-25,18,5,17
10,2012-07-25,18,37,17
1,2012-07-25,18,72,17
11,2012-07-25,19,16,15
1,2012-07-25,19,69,15
1,2012-07-25,19,75,15
12,2012-07-25,19,83,15
2,2012-07-25,19,88,15
122,2012-07-25,20,5,7
1,2012-07-25,20,18,7
30,2012-07-25,20,41,7
17,2012-07-25,21,5,3
80,2012-07-25,21,44,3
42,2012-07-25,22,9,10
36,2012-07-25,22,68,10
1,2012-07-25,22,78,10
4,2012-07-25,22,93,10
25,2012-07-25,23,5,17
42,2012-07-25,23,45,17
24,2012-07-25,24,6,9
39,2012-07-25,24,43,9
42,2012-07-25,25,9,13
82,2012-07-25,25,45,13
10,2012-07-25,25,81,13
5,2012-07-25,25,93,13
2,2012-07-25,26,2,17
43,2012-07-25,26,5,17
55,2012-07-25,26,45,17
29,2012-07-25,27,9,10
1,2012-07-25,27,21,10
52,2012-07-25,27,68,10
5,2012-07-25,27,93,10
1,2012-07-25,28,2,7
21,2012-07-25,28,5,7
41,2012-07-25,28,45,7
17,2012-07-25,29,8,3
15,2012-07-25,29,41,3
70,2012-07-25,29,45,3
38,2012-07-25,30,16,19
166,2012-07-25,30,44,19
42,2012-07-25,31,9,17
85,2012-07-25,31,45,17
38,2012-07-25,32,9,13
47,2012-07-25,32,45,13
1,2012-07-25,32,58,13
4,2012-07-25,32,93,13
88,2012-07-25,33,9,3
192,2012-07-25,33,44,3
30,2012-07-25,34,9,17
89,2012-07-25,34,45,17
17,2012-07-25,35,16,5
3,2012-07-25,35,63,5
12,2012-07-25,35,66,5
55,2012-07-25,36,9,18
1,2012-07-25,36,30,18
85,2012-07-25,36,44,18
45,2012-07-25,37,5,13
58,2012-07-25,37,45,13
40,2012-07-25,38,9,14
86,2012-07-25,38,45,14
1,2012-07-25,38,52,14
15,2012-07-25,39,9,8
9,2012-07-25,39,36,8
35,2012-07-25,40,5,13
66,2012-07-25,40,45,13
4,2012-07-25,40,93,13
39,2012-07-25,41,16,12
36,2012-07-25,41,68,12
30,2012-07-25,42,5,14
74,2012-07-25,42,45,14
37,2012-07-25,43,16,11
12,2012-07-25,43,37,11
16,2012-07-25,44,5,12
31,2012-07-25,44,68,12
3,2012-07-25,44,93,12
1,2012-07-25,44,94,12
63,2012-07-25,45,9,16
6,2012-07-25,45,26,16
18,2012-07-26,1,9,1
1,2012-07-26,1,28,1
26,2012-07-26,1,93,1
17,2012-07-26,2,5,14
1,2012-07-26,2,11,14
122,2012-07-26,2,44,14
1,2012-07-26,2,93,14
33,2012-07-26,3,5,7
71,2012-07-26,3,45,7
42,2012-07-26,4,9,9
6,2012-07-26,4,27,9
2,2012-07-26,4,90,9
10,2012-07-26,4,93,9
14,2012-07-26,5,16,12
1,2012-07-26,5,20,12
11,2012-07-26,5,37,12
34,2012-07-26,6,9,14
2,2012-07-26,6,14,14
62,2012-07-26,6,45,14
84,2012-07-26,7,5,6
19,2012-07-26,7,23,6
6,2012-07-26,7,93,6
30,2012-07-26,8,5,4
5,2012-07-26,8,23,4
2,2012-07-26,8,59,4
3,2012-07-26,8,93,4
40,2012-07-26,9,5,17
2,2012-07-26,9,10,17
8,2012-07-26,9,42,17
29,2012-07-26,9,45,17
8,2012-07-26,9,93,17
45,2012-07-26,10,5,12
2,2012-07-26,10,21,12
11,2012-07-26,10,37,12
33,2012-07-26,11,9,10
37,2012-07-26,11,68,10
3,2012-07-26,11,87,10
23,2012-07-26,12,16,11
14,2012-07-26,12,37,11
2,2012-07-26,12,79,11
1,2012-07-26,12,93,11
44,2012-07-26,13,5,6
107,2012-07-26,13,36,6
3,2012-07-26,13,46,6
7,2012-07-26,14,9,16
12,2012-07-26,14,25,16
1,2012-07-26,14,33,16
1,2012-07-26,14,70,16
20,2012-07-26,14,93,16
52,2012-07-26,15,5,13
46,2012-07-26,15,45,13
2,2012-07-26,15,61,13
1,2012-07-26,15,86,13
10,2012-07-26,15,93,13
29,2012-07-26,16,16,2
164,2012-07-26,16,25,2
3,2012-07-26,16,77,2
7,2012-07-26,16,93,2
106,2012-07-26,17,9,20
42,2012-07-26,17,37,20
137,2012-07-26,17,48,20
16,2012-07-26,18,5,17
10,2012-07-26,18,37,17
1,2012-07-26,18,72,17
14,2012-07-26,19,16,15
1,2012-07-26,19,69,15
12,2012-07-26,19,83,15
1,2012-07-26,19,88,15
67,2012-07-26,20,5,7
25,2012-07-26,20,41,7
1,2012-07-26,20,74,7
2,2012-07-26,20,93,7
67,2012-07-26,21,5,3
83,2012-07-26,21,44,3
1,2012-07-26,21,91,3
47,2012-07-26,22,9,10
2,2012-07-26,22,54,10
43,2012-07-26,22,68,10
1,2012-07-26,22,78,10
22,2012-07-26,23,5,17
1,2012-07-26,23,29,17
36,2012-07-26,23,45,17
27,2012-07-26,24,6,9
43,2012-07-26,24,43,9
70,2012-07-26,25,9,13
61,2012-07-26,25,45,13
12,2012-07-26,25,81,13
2,2012-07-26,25,93,13
2,2012-07-26,26,2,17
35,2012-07-26,26,5,17
51,2012-07-26,26,45,17
17,2012-07-26,27,9,10
1,2012-07-26,27,21,10
68,2012-07-26,27,68,10
7,2012-07-26,27,80,10
4,2012-07-26,27,93,10
2,2012-07-26,28,2,7
36,2012-07-26,28,5,7
55,2012-07-26,28,45,7
33,2012-07-26,29,8,3
21,2012-07-26,29,41,3
65,2012-07-26,29,45,3
4,2012-07-26,30,13,19
18,2012-07-26,30,16,19
206,2012-07-26,30,44,19
35,2012-07-26,31,9,17
76,2012-07-26,31,45,17
21,2012-07-26,32,9,13
55,2012-07-26,32,45,13
9,2012-07-26,32,93,13
137,2012-07-26,33,9,3
201,2012-07-26,33,44,3
6,2012-07-26,34,9,17
108,2012-07-26,34,45,17
2,2012-07-26,34,52,17
17,2012-07-26,35,16,5
2,2012-07-26,35,63,5
8,2012-07-26,35,66,5
6,2012-07-26,35,93,5
2,2012-07-26,36,1,18
23,2012-07-26,36,9,18
4,2012-07-26,36,30,18
80,2012-07-26,36,44,18
7,2012-07-26,37,5,13
44,2012-07-26,37,45,13
1,2012-07-26,37,53,13
74,2012-07-26,38,9,14
88,2012-07-26,38,45,14
1,2012-07-26,39,9,8
10,2012-07-26,39,36,8
51,2012-07-26,40,5,13
49,2012-07-26,40,45,13
2,2012-07-26,40,55,13
2,2012-07-26,40,93,13
32,2012-07-26,41,16,12
1,2012-07-26,41,61,12
35,2012-07-26,41,68,12
10,2012-07-26,42,5,14
72,2012-07-26,42,45,14
1,2012-07-26,42,82,14
3,2012-07-26,43,3,11
36,2012-07-26,43,16,11
5,2012-07-26,43,37,11
18,2012-07-26,44,5,12
1,2012-07-26,44,62,12
50,2012-07-26,44,68,12
2,2012-07-26,44,94,12
12,2012-07-26,45,9,16
3,2012-07-26,45,26,16
24,2012-07-27,1,9,1
5,2012-07-27,1,28,1
3,2012-07-27,1,40,1
12,2012-07-27,1,93,1
1,2012-07-27,1,99,1
48,2012-07-27,2,5,14
1,2012-07-27,2,11,14
132,2012-07-27,2,44,14
2,2012-07-27,3,2,7
55,2012-07-27,3,5,7
67,2012-07-27,3,45,7
168,2012-07-27,4,9,9
5,2012-07-27,4,27,9
1,2012-07-27,4,93,9
21,2012-07-27,5,16,12
14,2012-07-27,5,37,12
24,2012-07-27,6,9,14
59,2012-07-27,6,45,14
69,2012-07-27,7,5,6
2,2012-07-27,7,7,6
26,2012-07-27,7,23,6
20,2012-07-27,8,5,4
9,2012-07-27,8,23,4
3,2012-07-27,8,84,4
2,2012-07-27,8,93,4
56,2012-07-27,9,5,17
9,2012-07-27,9,42,17
70,2012-07-27,9,45,17
28,2012-07-27,10,5,12
2,2012-07-27,10,21,12
17,2012-07-27,10,37,12
8,2012-07-27,11,9,10
58,2012-07-27,11,68,10
23,2012-07-27,12,16,11
25,2012-07-27,12,37,11
2,2012-07-27,12,93,11
81,2012-07-27,13,5,6
86,2012-07-27,13,36,6
2,2012-07-27,13,93,6
8,2012-07-27,14,9,16
13,2012-07-27,14,25,16
1,2012-07-27,14,33,16
2,2012-07-27,14,70,16
3,2012-07-27,14,93,16
47,2012-07-27,15,5,13
2,2012-07-27,15,17,13
112,2012-07-27,15,45,13
3,2012-07-27,15,61,13
1,2012-07-27,15,86,13
10,2012-07-27,15,93,13
31,2012-07-27,16,16,2
174,2012-07-27,16,25,2
1,2012-07-27,16,77,2
1,2012-07-27,16,93,2
59,2012-07-27,17,9,20
42,2012-07-27,17,37,20
160,2012-07-27,17,48,20
38,2012-07-27,18,5,17
7,2012-07-27,18,37,17
1,2012-07-27,18,57,17
15,2012-07-27,19,16,15
7,2012-07-27,19,83,15
1,2012-07-27,19,88,15
108,2012-07-27,20,5,7
2,2012-07-27,20,18,7
31,2012-07-27,20,41,7
27,2012-07-27,21,5,3
73,2012-07-27,21,44,3
1,2012-07-27,21,91,3
48,2012-07-27,22,9,10
1,2012-07-27,22,54,10
42,2012-07-27,22,68,10
1,2012-07-27,22,78,10
25,2012-07-27,23,5,17
1,2012-07-27,23,29,17
43,2012-07-27,23,45,17
4,2012-07-27,23,56,17
27,2012-07-27,24,6,9
59,2012-07-27,24,43,9
1,2012-07-27,24,76,9
66,2012-07-27,25,9,13
82,2012-07-27,25,45,13
8,2012-07-27,25,81,13
1,2012-07-27,25,93,13
1,2012-07-27,26,2,17
100,2012-07-27,26,5,17
55,2012-07-27,26,45,17
29,2012-07-27,27,9,10
32,2012-07-27,27,68,10
2,2012-07-27,27,80,10
2,2012-07-27,27,93,10
1,2012-07-27,28,2,7
47,2012-07-27,28,5,7
49,2012-07-27,28,45,7
11,2012-07-27,29,8,3
31,2012-07-27,29,41,3
87,2012-07-27,29,45,3
5,2012-07-27,30,13,19
22,2012-07-27,30,16,19
177,2012-07-27,30,44,19
1,2012-07-27,30,65,19
44,2012-07-27,31,9,17
101,2012-07-27,31,45,17
2,2012-07-27,31,98,17
34,2012-07-27,32,9,13
43,2012-07-27,32,45,13
1,2012-07-27,32,58,13
22,2012-07-27,32,93,13
150,2012-07-27,33,9,3
223,2012-07-27,33,44,3
1,2012-07-27,33,85,3
1,2012-07-27,33,92,3
58,2012-07-27,34,9,17
117,2012-07-27,34,45,17
2,2012-07-27,34,52,17
5,2012-07-27,34,93,17
22,2012-07-27,35,16,5
9,2012-07-27,35,66,5
11,2012-07-27,36,9,18
87,2012-07-27,36,44,18
8,2012-07-27,37,5,13
46,2012-07-27,37,45,13
21,2012-07-27,38,9,14
102,2012-07-27,38,45,14
10,2012-07-27,39,9,8
13,2012-07-27,39,36,8
49,2012-07-27,40,5,13
54,2012-07-27,40,45,13
13,2012-07-27,40,93,13
48,2012-07-27,41,16,12
47,2012-07-27,41,68,12
105,2012-07-27,42,5,14
67,2012-07-27,42,45,14
2,2012-07-27,42,82,14
2,2012-07-27,43,3,11
36,2012-07-27,43,16,11
22,2012-07-27,43,37,11
5,2012-07-27,43,93,11
45,2012-07-27,44,5,12
3,2012-07-27,44,62,12
79,2012-07-27,44,68,12
7,2012-07-27,44,93,12
2,2012-07-27,45,4,16
6,2012-07-27,45,9,16
3,2012-07-27,45,26,16
30,2012-07-28,1,9,1
4,2012-07-28,1,28,1
6,2012-07-28,1,93,1
2,2012-07-28,1,99,1
55,2012-07-28,2,5,14
176,2012-07-28,2,44,14
1,2012-07-28,2,93,14
5,2012-07-28,3,2,7
114,2012-07-28,3,5,7
118,2012-07-28,3,45,7
62,2012-07-28,4,9,9
5,2012-07-28,4,27,9
20,2012-07-28,5,16,12
2,2012-07-28,5,20,12
12,2012-07-28,5,37,12
3,2012-07-28,5,93,12
33,2012-07-28,6,9,14
71,2012-07-28,6,45,14
35,2012-07-28,7,5,6
29,2012-07-28,7,23,6
4,2012-07-28,7,93,6
32,2012-07-28,8,5,4
17,2012-07-28,8,23,4
2,2012-07-28,8,59,4
3,2012-07-28,8,93,4
38,2012-07-28,9,5,17
12,2012-07-28,9,42,17
83,2012-07-28,9,45,17
64,2012-07-28,10,5,12
17,2012-07-28,10,37,12
39,2012-07-28,11,9,10
1,2012-07-28,11,61,10
51,2012-07-28,11,68,10
35,2012-07-28,12,16,11
15,2012-07-28,12,37,11
2,2012-07-28,12,93,11
43,2012-07-28,13,5,6
140,2012-07-28,13,36,6
2,2012-07-28,13,46,6
1,2012-07-28,13,93,6
8,2012-07-28,14,9,16
24,2012-07-28,14,25,16
1,2012-07-28,14,33,16
56,2012-07-28,15,5,13
3,2012-07-28,15,17,13
108,2012-07-28,15,45,13
2,2012-07-28,15,61,13
14,2012-07-28,15,93,13
33,2012-07-28,16,16,2
174,2012-07-28,16,25,2
1,2012-07-28,16,77,2
1,2012-07-28,16,85,2
8,2012-07-28,16,93,2
38,2012-07-28,17,9,20
57,2012-07-28,17,37,20
189,2012-07-28,17,48,20
22,2012-07-28,18,5,17
11,2012-07-28,18,37,17
1,2012-07-28,18,57,17
1,2012-07-28,18,72,17
15,2012-07-28,19,16,15
1,2012-07-28,19,69,15
7,2012-07-28,19,83,15
121,2012-07-28,20,5,7
40,2012-07-28,20,41,7
9,2012-07-28,20,93,7
39,2012-07-28,21,5,3
94,2012-07-28,21,44,3
64,2012-07-28,22,9,10
40,2012-07-28,22,68,10
6,2012-07-28,22,78,10
9,2012-07-28,22,93,10
40,2012-07-28,23,5,17
43,2012-07-28,23,45,17
44,2012-07-28,24,6,9
54,2012-07-28,24,43,9
84,2012-07-28,25,9,13
2,2012-07-28,25,12,13
95,2012-07-28,25,45,13
8,2012-07-28,25,81,13
5,2012-07-28,25,93,13
39,2012-07-28,26,5,17
43,2012-07-28,26,45,17
38,2012-07-28,27,9,10
3,2012-07-28,27,21,10
34,2012-07-28,27,68,10
1,2012-07-28,27,80,10
6,2012-07-28,27,93,10
2,2012-07-28,28,2,7
45,2012-07-28,28,5,7
56,2012-07-28,28,45,7
17,2012-07-28,29,8,3
22,2012-07-28,29,41,3
96,2012-07-28,29,45,3
29,2012-07-28,30,16,19
207,2012-07-28,30,44,19
35,2012-07-28,31,9,17
90,2012-07-28,31,45,17
2,2012-07-28,31,93,17
40,2012-07-28,32,9,13
1,2012-07-28,32,19,13
45,2012-07-28,32,45,13
9,2012-07-28,32,58,13
1,2012-07-28,32,86,13
16,2012-07-28,32,93,13
188,2012-07-28,33,9,3
257,2012-07-28,33,44,3
2,2012-07-28,33,92,3
58,2012-07-28,34,9,17
96,2012-07-28,34,45,17
2,2012-07-28,34,93,17
29,2012-07-28,35,16,5
8,2012-07-28,35,66,5
2,2012-07-28,35,93,5
61,2012-07-28,36,9,18
3,2012-07-28,36,30,18
106,2012-07-28,36,44,18
40,2012-07-28,37,5,13
58,2012-07-28,37,45,13
39,2012-07-28,38,9,14
114,2012-07-28,38,45,14
2,2012-07-28,38,52,14
26,2012-07-28,39,36,8
86,2012-07-28,40,5,13
81,2012-07-28,40,45,13
2,2012-07-28,40,55,13
18,2012-07-28,40,93,13
68,2012-07-28,41,16,12
55,2012-07-28,41,68,12
2,2012-07-28,41,93,12
50,2012-07-28,42,5,14
78,2012-07-28,42,45,14
51,2012-07-28,43,16,11
22,2012-07-28,43,37,11
1,2012-07-28,43,73,11
42,2012-07-28,44,5,12
1,2012-07-28,44,62,12
72,2012-07-28,44,68,12
1,2012-07-28,44,93,12
1,2012-07-28,45,4,16
8,2012-07-28,45,9,16
2,2012-07-28,45,26,16
32,2012-07-29,1,9,1
4,2012-07-29,1,28,1
1,2012-07-29,1,93,1
1,2012-07-29,1,99,1
54,2012-07-29,2,5,14
168,2012-07-29,2,44,14
8,2012-07-29,2,93,14
7,2012-07-29,3,2,7
54,2012-07-29,3,5,7
99,2012-07-29,3,45,7
121,2012-07-29,4,9,9
7,2012-07-29,4,27,9
1,2012-07-29,4,93,9
30,2012-07-29,5,16,12
1,2012-07-29,5,20,12
14,2012-07-29,5,37,12
4,2012-07-29,5,93,12
46,2012-07-29,6,9,14
69,2012-07-29,6,45,14
144,2012-07-29,7,5,6
3,2012-07-29,7,7,6
27,2012-07-29,7,23,6
3,2012-07-29,7,93,6
37,2012-07-29,8,5,4
13,2012-07-29,8,23,4
1,2012-07-29,8,59,4
68,2012-07-29,9,5,17
2,2012-07-29,9,10,17
7,2012-07-29,9,42,17
104,2012-07-29,9,45,17
61,2012-07-29,10,5,12
2,2012-07-29,10,21,12
15,2012-07-29,10,37,12
2,2012-07-29,10,93,12
44,2012-07-29,11,9,10
2,2012-07-29,11,61,10
51,2012-07-29,11,68,10
1,2012-07-29,11,86,10
34,2012-07-29,12,16,11
13,2012-07-29,12,37,11
8,2012-07-29,12,93,11
47,2012-07-29,13,5,6
141,2012-07-29,13,36,6
1,2012-07-29,13,46,6
1,2012-07-29,14,9,16
6,2012-07-29,14,25,16
2,2012-07-29,14,70,16
2,2012-07-29,14,93,16
85,2012-07-29,15,5,13
116,2012-07-29,15,45,13
1,2012-07-29,15,61,13
2,2012-07-29,15,93,13
50,2012-07-29,16,16,2
233,2012-07-29,16,25,2
1,2012-07-29,16,77,2
7,2012-07-29,16,93,2
166,2012-07-29,17,9,20
43,2012-07-29,17,37,20
196,2012-07-29,17,48,20
1,2012-07-29,17,71,20
22,2012-07-29,18,5,17
11,2012-07-29,18,37,17
1,2012-07-29,18,57,17
27,2012-07-29,19,16,15
4,2012-07-29,19,69,15
1,2012-07-29,19,75,15
8,2012-07-29,19,83,15
5,2012-07-29,19,93,15
119,2012-07-29,20,5,7
33,2012-07-29,20,41,7
3,2012-07-29,20,74,7
60,2012-07-29,21,5,3
99,2012-07-29,21,44,3
56,2012-07-29,22,9,10
37,2012-07-29,22,68,10
1,2012-07-29,22,78,10
3,2012-07-29,22,93,10
45,2012-07-29,23,5,17
1,2012-07-29,23,29,17
41,2012-07-29,23,45,17
60,2012-07-29,24,6,9
36,2012-07-29,24,43,9
71,2012-07-29,25,9,13
83,2012-07-29,25,45,13
14,2012-07-29,25,81,13
1,2012-07-29,25,84,13
5,2012-07-29,25,93,13
3,2012-07-29,26,2,17
60,2012-07-29,26,5,17
69,2012-07-29,26,45,17
59,2012-07-29,27,9,10
1,2012-07-29,27,21,10
62,2012-07-29,27,68,10
2,2012-07-29,27,80,10
2,2012-07-29,27,93,10
41,2012-07-29,28,5,7
61,2012-07-29,28,45,7
28,2012-07-29,29,8,3
45,2012-07-29,29,41,3
96,2012-07-29,29,45,3
1,2012-07-29,30,13,19
35,2012-07-29,30,16,19
216,2012-07-29,30,44,19
61,2012-07-29,31,9,17
79,2012-07-29,31,45,17
4,2012-07-29,31,93,17
54,2012-07-29,32,9,13
1,2012-07-29,32,19,13
73,2012-07-29,32,45,13
9,2012-07-29,32,58,13
1,2012-07-29,32,93,13
205,2012-07-29,33,9,3
209,2012-07-29,33,44,3
5,2012-07-29,33,92,3
32,2012-07-29,34,9,17
101,2012-07-29,34,45,17
2,2012-07-29,34,52,17
35,2012-07-29,35,16,5
2,2012-07-29,35,63,5
4,2012-07-29,35,66,5
25,2012-07-29,36,9,18
1,2012-07-29,36,30,18
97,2012-07-29,36,44,18
31,2012-07-29,37,5,13
83,2012-07-29,37,45,13
2,2012-07-29,37,53,13
102,2012-07-29,38,9,14
112,2012-07-29,38,45,14
2,2012-07-29,38,52,14
3,2012-07-29,39,9,8
20,2012-07-29,39,36,8
48,2012-07-29,40,5,13
93,2012-07-29,40,45,13
6,2012-07-29,40,93,13
47,2012-07-29,41,16,12
4,2012-07-29,41,61,12
41,2012-07-29,41,68,12
1,2012-07-29,41,93,12
29,2012-07-29,42,5,14
97,2012-07-29,42,45,14
2,2012-07-29,43,3,11
39,2012-07-29,43,16,11
14,2012-07-29,43,37,11
1,2012-07-29,43,73,11
21,2012-07-29,44,5,12
39,2012-07-29,44,68,12
2,2012-07-29,44,93,12
2,2012-07-29,45,4,16
32,2012-07-29,45,9,16
1,2012-07-29,45,26,16
41,2012-07-30,1,9,1
4,2012-07-30,1,28,1
4,2012-07-30,1,93,1
50,2012-07-30,2,5,14
120,2012-07-30,2,44,14
2,2012-07-30,3,2,7
96,2012-07-30,3,5,7
78,2012-07-30,3,45,7
8,2012-07-30,3,93,7
123,2012-07-30,4,9,9
4,2012-07-30,4,27,9
3,2012-07-30,4,93,9
17,2012-07-30,5,16,12
9,2012-07-30,5,37,12
2,2012-07-30,5,93,12
46,2012-07-30,6,9,14
45,2012-07-30,6,45,14
89,2012-07-30,7,5,6
16,2012-07-30,7,23,6
34,2012-07-30,8,5,4
5,2012-07-30,8,23,4
1,2012-07-30,8,59,4
66,2012-07-30,9,5,17
1,2012-07-30,9,10,17
7,2012-07-30,9,42,17
110,2012-07-30,9,45,17
65,2012-07-30,10,5,12
8,2012-07-30,10,37,12
1,2012-07-30,10,86,12
42,2012-07-30,11,9,10
38,2012-07-30,11,68,10
16,2012-07-30,12,16,11
11,2012-07-30,12,37,11
3,2012-07-30,12,79,11
4,2012-07-30,12,93,11
102,2012-07-30,13,5,6
111,2012-07-30,13,36,6
1,2012-07-30,13,46,6
29,2012-07-30,14,9,16
11,2012-07-30,14,25,16
55,2012-07-30,15,5,13
83,2012-07-30,15,45,13
1,2012-07-30,15,61,13
6,2012-07-30,15,93,13
27,2012-07-30,16,16,2
156,2012-07-30,16,25,2
5,2012-07-30,16,77,2
184,2012-07-30,17,9,20
43,2012-07-30,17,37,20
155,2012-07-30,17,48,20
19,2012-07-30,18,5,17
7,2012-07-30,18,37,17
16,2012-07-30,19,16,15
1,2012-07-30,19,69,15
7,2012-07-30,19,83,15
34,2012-07-30,20,5,7
27,2012-07-30,20,41,7
74,2012-07-30,21,5,3
79,2012-07-30,21,44,3
48,2012-07-30,22,9,10
34,2012-07-30,22,68,10
22,2012-07-30,23,5,17
1,2012-07-30,23,29,17
41,2012-07-30,23,45,17
56,2012-07-30,24,6,9
36,2012-07-30,24,43,9
73,2012-07-30,25,9,13
76,2012-07-30,25,45,13
11,2012-07-30,25,81,13
6,2012-07-30,25,93,13
80,2012-07-30,26,5,17
41,2012-07-30,26,45,17
37,2012-07-30,27,9,10
1,2012-07-30,27,21,10
38,2012-07-30,27,68,10
5,2012-07-30,27,93,10
1,2012-07-30,28,2,7
19,2012-07-30,28,5,7
64,2012-07-30,28,45,7
29,2012-07-30,29,8,3
25,2012-07-30,29,41,3
78,2012-07-30,29,45,3
2,2012-07-30,29,56,3
29,2012-07-30,30,16,19
175,2012-07-30,30,44,19
1,2012-07-30,30,65,19
62,2012-07-30,31,9,17
73,2012-07-30,31,45,17
2,2012-07-30,31,93,17
2,2012-07-30,31,98,17
9,2012-07-30,32,9,13
50,2012-07-30,32,45,13
3,2012-07-30,32,58,13
7,2012-07-30,32,93,13
164,2012-07-30,33,9,3
195,2012-07-30,33,44,3
3,2012-07-30,33,92,3
47,2012-07-30,34,9,17
89,2012-07-30,34,45,17
1,2012-07-30,34,52,17
29,2012-07-30,35,16,5
3,2012-07-30,35,63,5
14,2012-07-30,35,66,5
28,2012-07-30,36,9,18
3,2012-07-30,36,30,18
90,2012-07-30,36,44,18
24,2012-07-30,37,5,13
44,2012-07-30,37,45,13
87,2012-07-30,38,9,14
98,2012-07-30,38,45,14
3,2012-07-30,38,52,14
1,2012-07-30,39,9,8
11,2012-07-30,39,36,8
54,2012-07-30,40,5,13
78,2012-07-30,40,45,13
9,2012-07-30,40,93,13
35,2012-07-30,41,16,12
17,2012-07-30,41,68,12
54,2012-07-30,42,5,14
77,2012-07-30,42,45,14
42,2012-07-30,43,16,11
8,2012-07-30,43,37,11
73,2012-07-30,44,5,12
2,2012-07-30,44,62,12
27,2012-07-30,44,68,12
12,2012-07-30,45,9,16
3,2012-07-30,45,26,16
